cantidad_compra,cod_ordencompra,Cod_Insumo
100,20,286
120,20,287
140,20,288
80,20,289
120,19,280
135,19,281
150,19,282
140,19,283
110,19,284
70,19,285
40,18,281
90,18,283
110,18,284
80,17,46
90,16,4
60,16,234
70,16,243
70,16,244
56,21,4
75,21,234
34,21,243
54,21,244
65,21,8
70,21,21
90,22,23
90,22,24
90,22,25
90,22,54
100,22,65
110,22,42
136,23,109
104,23,88
126,23,375
129,23,67
96,23,138
127,23,84
87,23,316
149,23,185
94,24,253
144,24,275
132,24,353
147,24,433
134,24,51
134,24,18
149,24,415
107,25,434
105,25,160
121,26,220
120,26,222
135,26,215
146,27,214
141,27,217
106,27,249
134,28,124
95,28,103
118,28,83
104,28,380
123,28,416
123,28,173
83,29,12
82,29,145
107,29,132
118,30,268
104,30,321
123,30,123
106,31,178
106,31,368
95,31,173
133,31,396
124,32,408
141,32,388
82,32,443
107,32,173
81,32,372
96,33,182
131,33,106
124,33,455
123,34,173
101,34,231
118,34,289
150,34,334
91,35,267
81,35,248
84,36,450
97,36,11
129,36,301
124,37,142
84,37,430
84,37,334
141,37,190
138,37,325
136,37,338
115,37,105
117,38,132
90,38,34
89,38,191
136,38,389
113,38,307
98,39,270
131,39,21
144,39,300
136,40,419
96,41,407
94,42,140
95,42,230
91,42,220
88,42,373
141,43,309
84,43,122
138,43,88
149,43,333
140,43,47
140,43,51
131,43,96
83,44,160
139,44,225
140,44,50
122,44,429
107,45,15
123,45,77
141,45,276
104,45,132
93,46,299
81,46,104
144,46,280
147,46,51
86,46,183
124,46,317
145,46,284
128,47,201
87,47,237
97,47,17
88,47,228
86,48,94
127,48,283
131,48,161
103,48,150
92,48,144
84,48,278
109,49,362
133,49,364
91,49,122
100,50,77
135,50,20
103,50,288
149,50,320
123,50,246
143,50,147
147,51,277
135,51,377
129,51,371
143,51,361
142,51,187
138,52,340
85,52,273
99,52,164
149,52,324
96,52,49
91,52,271
148,52,225
93,53,225
93,53,83
120,53,429
110,53,144
87,53,112
82,54,395
134,55,426
144,55,350
110,56,392
89,56,336
126,56,326
148,56,401
119,56,208
113,57,100
149,57,191
103,57,213
150,57,229
108,57,317
117,58,342
88,58,220
113,58,199
116,58,257
97,58,117
135,58,259
133,59,90
115,59,36
139,59,60
112,59,249
106,59,294
112,59,140
124,59,11
87,59,220
137,59,318
134,59,174
135,59,186
148,60,446
135,60,104
144,61,205
86,61,350
146,62,114
87,62,50
82,62,218
86,62,89
117,63,83
125,63,380
106,63,118
104,63,29
135,63,429
141,63,275
141,63,385
80,63,90
102,63,443
122,63,311
146,64,136
116,64,343
119,65,12
148,65,123
101,65,390
127,65,404
141,65,381
112,65,328
113,65,295
86,65,373
150,66,352
119,66,185
141,66,198
147,66,132
109,66,347
143,67,114
126,67,183
119,67,438
101,67,395
90,67,367
107,68,364
108,68,287
142,68,279
88,69,448
115,70,209
117,70,297
146,70,192
139,71,11
96,71,310
106,71,12
150,72,35
140,72,191
109,72,390
114,73,444
88,73,410
114,73,214
97,74,352
129,74,181
139,74,223
111,75,277
144,75,294
127,75,56
116,75,287
142,76,189
92,76,314
135,76,205
128,77,389
146,77,91
126,77,191
135,77,304
119,77,107
95,78,431
123,78,160
104,78,51
80,79,37
147,79,216
115,79,21
131,80,414
130,80,317
107,80,397
82,81,45
128,81,411
88,81,314
98,81,439
113,82,260
81,82,204
83,82,32
145,82,309
111,82,363
135,82,399
126,82,190
113,83,15
119,83,278
121,83,58
99,83,69
113,84,271
110,84,149
121,84,93
111,85,313
137,85,326
120,85,204
85,86,254
139,86,333
127,86,179
130,87,279
86,87,368
101,87,40
97,88,340
128,88,74
91,88,55
96,88,445
150,88,192
95,88,227
114,89,12
146,89,67
91,89,125
131,90,251
103,90,191
126,91,164
83,91,152
138,91,43
136,91,189
137,91,378
122,91,80
149,91,316
96,91,305
122,92,365
85,92,355
138,92,224
85,92,201
81,92,392
122,92,61
133,92,228
131,92,241
99,92,417
110,93,78
92,93,192
109,93,184
85,94,52
122,94,197
96,95,222
116,95,104
138,95,283
107,96,99
110,96,291
142,96,273
102,96,274
82,97,338
129,97,262
112,97,420
112,98,166
147,98,413
139,99,162
85,99,97
132,100,205
116,100,83
92,100,217
94,100,196
147,100,163
146,100,417
132,100,112
127,100,144
102,100,388
95,100,24
136,101,152
99,101,343
118,101,431
107,101,100
94,101,347
123,101,326
90,102,84
93,102,452
133,102,419
130,102,353
139,102,410
100,103,412
117,103,285
101,103,376
111,103,356
116,104,245
103,104,166
87,104,373
101,105,108
109,105,438
88,105,374
121,106,375
92,106,54
113,106,123
144,106,213
123,106,50
83,106,249
104,107,23
146,107,212
126,107,133
85,107,401
100,108,92
108,108,59
106,108,437
94,108,450
123,109,400
115,109,92
148,109,20
147,109,382
101,110,67
146,110,377
137,110,177
145,111,59
120,111,116
148,111,282
81,111,385
141,111,453
110,112,344
94,112,134
147,112,260
146,112,361
133,112,53
104,112,42
118,112,109
100,113,137
145,113,11
120,113,222
126,113,14
95,114,267
124,114,26
107,114,33
147,115,129
137,115,141
116,115,395
111,115,177
146,115,320
137,115,410
92,115,291
111,116,193
88,116,389
108,116,205
124,116,7
142,116,231
129,116,230
94,117,16
116,117,394
128,117,229
83,117,186
91,118,297
113,118,175
129,118,223
109,118,235
126,119,305
99,119,32
88,119,175
142,120,444
107,120,41
105,120,40
137,120,340
130,121,385
100,121,112
99,121,398
114,122,94
82,122,227
139,122,263
148,122,40
104,122,134
83,122,189
109,122,158
120,122,27
109,123,196
106,123,47
135,123,172
122,124,32
131,124,370
110,124,326
108,125,166
95,125,314
127,125,161
98,125,275
91,126,363
86,126,441
84,126,430
107,126,60
141,126,303
102,127,345
128,127,69
143,127,260
113,127,371
91,127,53
94,127,373
133,128,62
112,128,358
93,128,30
145,129,364
136,129,156
90,129,256
108,129,412
120,129,151
109,129,54
82,130,217
93,130,165
133,130,144
131,130,211
148,130,4
91,131,93
133,131,335
112,131,94
89,131,24
126,131,341
92,132,51
113,132,288
89,132,356
112,133,159
109,133,197
92,133,372
141,133,212
104,134,65
83,134,14
142,134,269
113,135,9
141,135,370
143,136,402
118,136,384
98,137,455
81,137,126
97,138,179
87,138,411
110,139,268
98,139,212
147,140,353
84,140,80
84,140,248
141,140,349
149,140,424
95,141,450
105,141,90
82,141,173
135,142,178
138,142,115
103,142,164
147,143,433
101,143,17
