cod_ordencompra,cod_insumo,cod_supcantidad,cod_supcalidad,cantidad_recibida,fechahora_cantidad,Cod_Calidad,fechahora_calidad,descripcion
20,286,103,104,107,14/06/2023 19:37,5,15/06/2023 03:46,bien
20,287,103,104,109,17/08/2023 11:32,5,17/08/2023 19:42,muy bien
20,288,103,104,99,25/06/2023 22:20,3,26/06/2023 06:29,decente
20,289,103,104,110,21/04/2023 20:47,4,22/04/2023 04:57,bien
19,280,103,104,93,11/12/2023 08:41,4,11/12/2023 16:51,muy bien
19,281,103,104,98,24/09/2023 05:07,3,24/09/2023 13:17,decente
19,282,103,104,90,28/04/2023 14:37,5,28/04/2023 22:46,bien
19,283,103,104,96,1/10/2023 03:11,3,1/10/2023 11:21,muy bien
19,284,103,104,107,22/11/2023 15:50,4,23/11/2023 00:00,decente
19,285,103,104,97,1/09/2023 21:45,5,2/09/2023 05:54,bien
18,281,103,104,109,15/09/2023 08:54,3,15/09/2023 17:03,muy bien
18,283,103,104,92,14/05/2023 00:42,5,14/05/2023 08:51,decente
18,284,103,104,114,29/12/2023 15:59,4,30/12/2023 00:08,bien
17,46,103,104,94,16/09/2023 13:15,4,16/09/2023 21:25,muy bien
16,4,103,104,90,17/07/2023 02:32,4,17/07/2023 10:42,decente
16,234,103,104,114,28/06/2023 10:35,3,28/06/2023 18:45,bien
16,243,103,104,96,21/08/2023 05:46,4,21/08/2023 13:56,muy bien
16,244,103,104,113,15/10/2023 11:12,4,15/10/2023 19:22,decente
21,4,103,104,97,21/08/2023 00:53,3,21/08/2023 09:03,bien
21,234,103,104,108,21/04/2023 05:05,4,21/04/2023 13:14,muy bien
21,243,103,104,95,12/09/2023 03:29,3,12/09/2023 11:39,decente
21,244,103,104,113,24/05/2023 05:34,3,24/05/2023 13:43,bien
21,8,103,104,100,25/10/2023 14:39,4,25/10/2023 22:49,muy bien
21,21,103,104,115,20/01/2023 03:37,3,20/01/2023 11:46,decente
22,23,103,104,107,16/02/2023 11:34,4,16/02/2023 19:43,bien
22,24,103,104,115,12/11/2023 18:04,4,13/11/2023 02:14,muy bien
22,25,103,104,110,1/01/2023 12:51,5,1/01/2023 21:00,decente
22,54,103,104,109,22/04/2023 07:11,5,22/04/2023 15:20,bien
22,65,103,104,100,29/11/2023 16:16,3,30/11/2023 00:26,muy bien
22,42,103,104,102,1/05/2023 05:48,3,1/05/2023 13:57,decente
23,109,103,104,102,16/02/2023 10:51,4,16/02/2023 19:01,bien
23,88,103,104,99,11/11/2023 19:23,3,12/11/2023 03:33,muy bien
23,375,103,104,98,18/01/2023 19:34,3,19/01/2023 03:44,decente
23,67,103,104,95,15/09/2023 10:03,3,15/09/2023 18:12,bien
23,138,103,104,103,2/01/2023 04:03,4,2/01/2023 12:12,muy bien
23,84,103,104,93,13/05/2023 11:35,3,13/05/2023 19:45,decente
23,316,103,104,95,1/07/2023 12:45,4,1/07/2023 20:55,bien
23,185,103,104,111,2/01/2023 01:06,3,2/01/2023 09:15,muy bien
24,253,103,104,110,4/04/2023 02:07,4,4/04/2023 10:17,decente
24,275,103,104,95,12/02/2023 15:18,3,12/02/2023 23:28,bien
24,353,103,104,109,19/11/2023 15:33,5,19/11/2023 23:43,muy bien
24,433,103,104,108,22/12/2023 20:52,5,23/12/2023 05:02,decente
24,51,103,104,115,22/03/2023 08:13,5,22/03/2023 16:22,bien
24,18,103,104,100,14/09/2023 01:09,3,14/09/2023 09:19,muy bien
24,415,103,104,97,1/01/2023 10:38,3,1/01/2023 18:47,decente
25,434,103,104,96,21/12/2023 06:21,5,21/12/2023 14:30,bien
25,160,103,104,113,27/06/2023 22:45,4,28/06/2023 06:55,muy bien
26,220,103,104,107,7/02/2023 08:40,4,7/02/2023 16:50,decente
26,222,103,104,108,4/12/2023 09:48,4,4/12/2023 17:57,bien
26,215,103,104,93,8/02/2023 11:21,5,8/02/2023 19:30,muy bien
27,214,103,104,106,4/05/2023 06:21,3,4/05/2023 14:31,decente
27,217,103,104,106,4/08/2023 03:05,4,4/08/2023 11:14,bien
27,249,103,104,93,23/09/2023 19:29,4,24/09/2023 03:39,muy bien
28,124,103,104,114,4/09/2023 19:44,4,5/09/2023 03:54,decente
28,103,103,104,101,21/07/2023 02:06,3,21/07/2023 10:15,bien
28,83,103,104,101,5/04/2023 08:49,3,5/04/2023 16:58,muy bien
28,380,103,104,99,1/12/2023 09:25,5,1/12/2023 17:35,decente
28,416,103,104,96,15/10/2023 08:05,4,15/10/2023 16:15,bien
28,173,103,104,111,23/06/2023 13:55,5,23/06/2023 22:04,muy bien
29,12,103,104,112,8/04/2023 01:41,5,8/04/2023 09:51,decente
29,145,103,104,90,20/07/2023 04:31,3,20/07/2023 12:41,bien
29,132,103,104,110,13/04/2023 03:36,5,13/04/2023 11:45,muy bien
30,268,103,104,109,11/12/2023 02:25,5,11/12/2023 10:34,decente
30,321,103,104,104,25/03/2023 08:49,5,25/03/2023 16:59,bien
30,123,103,104,106,1/03/2023 03:06,3,1/03/2023 11:16,muy bien
31,178,103,104,105,17/12/2023 03:31,4,17/12/2023 11:41,decente
31,368,103,104,102,7/09/2023 09:45,4,7/09/2023 17:55,bien
31,173,103,104,110,6/04/2023 12:53,4,6/04/2023 21:03,muy bien
31,396,103,104,96,28/11/2023 07:26,3,28/11/2023 15:35,decente
32,408,103,104,114,7/02/2023 05:46,3,7/02/2023 13:56,bien
32,388,103,104,115,2/04/2023 18:00,3,3/04/2023 02:09,muy bien
32,443,103,104,111,30/09/2023 00:47,3,30/09/2023 08:56,decente
32,173,103,104,113,14/05/2023 12:10,3,14/05/2023 20:20,bien
32,372,103,104,99,6/03/2023 20:40,4,7/03/2023 04:50,muy bien
33,182,103,104,106,26/12/2023 07:07,5,26/12/2023 15:17,decente
33,106,103,104,93,5/09/2023 22:22,3,6/09/2023 06:31,bien
33,455,103,104,103,12/02/2023 04:17,3,12/02/2023 12:27,muy bien
34,173,103,104,97,16/09/2023 02:32,5,16/09/2023 10:41,decente
34,231,103,104,113,24/04/2023 05:06,4,24/04/2023 13:16,bien
34,289,103,104,90,1/07/2023 02:11,5,1/07/2023 10:21,muy bien
34,334,103,104,96,17/05/2023 11:54,5,17/05/2023 20:04,decente
35,267,103,104,98,8/05/2023 13:29,4,8/05/2023 21:38,bien
35,248,103,104,106,3/07/2023 12:22,5,3/07/2023 20:31,muy bien
36,450,103,104,97,8/04/2023 02:58,4,8/04/2023 11:07,decente
36,11,103,104,95,25/08/2023 10:07,5,25/08/2023 18:17,bien
36,301,103,104,104,23/11/2023 06:27,5,23/11/2023 14:37,muy bien
37,142,103,104,94,9/10/2023 11:15,4,9/10/2023 19:25,decente
37,430,103,104,90,17/11/2023 06:14,3,17/11/2023 14:24,bien
37,334,103,104,107,31/07/2023 22:35,4,1/08/2023 06:45,muy bien
37,190,103,104,102,1/01/2023 01:03,5,1/01/2023 09:12,decente
37,325,103,104,112,8/01/2023 20:41,3,9/01/2023 04:51,bien
37,338,103,104,93,15/02/2023 08:10,3,15/02/2023 16:20,muy bien
37,105,103,104,97,23/12/2023 08:30,4,23/12/2023 16:40,decente
38,132,103,104,115,15/11/2023 16:50,4,16/11/2023 01:00,bien
38,34,103,104,94,29/04/2023 22:43,3,30/04/2023 06:52,muy bien
38,191,103,104,101,31/10/2023 02:19,3,31/10/2023 10:29,decente
38,389,103,104,113,7/01/2023 08:48,5,7/01/2023 16:57,bien
38,307,103,104,102,1/01/2023 22:42,3,2/01/2023 06:52,muy bien
39,270,103,104,106,14/05/2023 11:28,5,14/05/2023 19:38,decente
39,21,103,104,90,30/09/2023 20:10,5,1/10/2023 04:20,bien
39,300,103,104,97,14/05/2023 18:28,4,15/05/2023 02:37,muy bien
40,419,103,104,90,14/12/2023 06:10,4,14/12/2023 14:19,decente
41,407,103,104,106,28/08/2023 06:07,5,28/08/2023 14:16,bien
42,140,103,104,98,8/09/2023 12:10,5,8/09/2023 20:20,muy bien
42,230,103,104,111,10/11/2023 05:47,3,10/11/2023 13:57,decente
42,220,103,104,108,30/03/2023 04:04,3,30/03/2023 12:14,bien
42,373,103,104,109,28/02/2023 13:26,4,28/02/2023 21:35,muy bien
43,309,103,104,91,16/03/2023 20:50,4,17/03/2023 04:59,decente
43,122,103,104,112,14/02/2023 01:52,5,14/02/2023 10:02,bien
43,88,103,104,96,23/05/2023 08:10,4,23/05/2023 16:19,muy bien
43,333,103,104,107,18/08/2023 20:14,3,19/08/2023 04:24,decente
43,47,103,104,111,20/05/2023 19:18,3,21/05/2023 03:27,bien
43,51,103,104,100,7/10/2023 12:59,5,7/10/2023 21:09,muy bien
43,96,103,104,90,3/01/2023 12:01,3,3/01/2023 20:11,decente
44,160,103,104,103,8/02/2023 22:31,5,9/02/2023 06:40,bien
44,225,103,104,99,19/11/2023 06:57,5,19/11/2023 15:06,muy bien
44,50,103,104,102,27/12/2023 10:45,3,27/12/2023 18:55,decente
44,429,103,104,99,11/03/2023 17:19,5,12/03/2023 01:29,bien
45,15,103,104,98,5/07/2023 02:56,4,5/07/2023 11:05,muy bien
45,77,103,104,95,30/03/2023 09:18,3,30/03/2023 17:28,decente
45,276,103,104,115,10/05/2023 06:56,3,10/05/2023 15:06,bien
45,132,103,104,113,4/10/2023 10:23,5,4/10/2023 18:33,muy bien
46,299,103,104,111,31/07/2023 20:50,5,1/08/2023 05:00,decente
46,104,103,104,108,26/10/2023 07:43,5,26/10/2023 15:53,bien
46,280,103,104,94,16/11/2023 21:05,3,17/11/2023 05:15,muy bien
46,51,103,104,114,4/08/2023 16:29,5,5/08/2023 00:38,decente
46,183,103,104,114,5/12/2023 07:11,5,5/12/2023 15:21,bien
46,317,103,104,97,3/05/2023 09:40,4,3/05/2023 17:49,muy bien
46,284,103,104,111,28/01/2023 01:52,3,28/01/2023 10:02,decente
47,201,103,104,97,28/09/2023 18:34,3,29/09/2023 02:43,bien
47,237,103,104,109,1/08/2023 21:27,5,2/08/2023 05:36,muy bien
47,17,103,104,101,1/03/2023 22:17,4,2/03/2023 06:26,decente
47,228,103,104,99,25/09/2023 05:09,3,25/09/2023 13:18,bien
48,94,103,104,100,21/10/2023 06:25,4,21/10/2023 14:35,muy bien
48,283,103,104,109,14/12/2023 19:45,5,15/12/2023 03:55,decente
48,161,103,104,108,15/07/2023 06:41,4,15/07/2023 14:51,bien
48,150,103,104,103,12/05/2023 07:17,4,12/05/2023 15:27,muy bien
48,144,103,104,92,25/12/2023 16:19,5,26/12/2023 00:29,decente
48,278,103,104,98,24/04/2023 19:13,3,25/04/2023 03:23,bien
49,362,103,104,95,6/09/2023 12:38,3,6/09/2023 20:47,muy bien
49,364,103,104,106,17/06/2023 08:43,3,17/06/2023 16:53,decente
49,122,103,104,101,11/06/2023 04:50,4,11/06/2023 12:59,bien
50,77,103,104,113,10/02/2023 23:36,5,11/02/2023 07:46,muy bien
50,20,103,104,105,1/06/2023 12:53,5,1/06/2023 21:03,decente
50,288,103,104,104,29/03/2023 15:35,4,29/03/2023 23:44,bien
50,320,103,104,104,7/06/2023 21:06,4,8/06/2023 05:16,muy bien
50,246,103,104,93,19/01/2023 02:52,3,19/01/2023 11:02,decente
50,147,103,104,99,12/12/2023 08:41,5,12/12/2023 16:50,bien
51,277,103,104,105,21/02/2023 01:00,4,21/02/2023 09:09,muy bien
51,377,103,104,90,24/09/2023 19:59,3,25/09/2023 04:09,decente
51,371,103,104,102,12/05/2023 16:04,5,13/05/2023 00:13,bien
51,361,103,104,113,8/11/2023 09:56,3,8/11/2023 18:06,muy bien
51,187,103,104,93,22/10/2023 22:42,3,23/10/2023 06:52,decente
52,340,103,104,102,16/11/2023 10:27,4,16/11/2023 18:37,bien
52,273,103,104,113,23/08/2023 18:22,4,24/08/2023 02:32,muy bien
52,164,103,104,100,20/03/2023 07:39,3,20/03/2023 15:49,decente
52,324,103,104,101,27/02/2023 19:11,5,28/02/2023 03:21,bien
52,49,103,104,90,30/09/2023 03:28,5,30/09/2023 11:37,muy bien
52,271,103,104,105,12/05/2023 03:44,4,12/05/2023 11:54,decente
52,225,103,104,105,3/08/2023 23:12,3,4/08/2023 07:22,bien
53,225,103,104,90,25/06/2023 06:02,4,25/06/2023 14:12,muy bien
53,83,103,104,90,28/09/2023 02:59,4,28/09/2023 11:09,decente
53,429,103,104,92,16/04/2023 18:49,4,17/04/2023 02:58,bien
53,144,103,104,103,4/03/2023 19:24,3,5/03/2023 03:33,muy bien
53,112,103,104,110,12/08/2023 12:09,4,12/08/2023 20:19,decente
54,395,103,104,112,14/01/2023 07:03,3,14/01/2023 15:13,bien
55,426,103,104,102,29/04/2023 14:39,5,29/04/2023 22:49,muy bien
55,350,103,104,92,25/08/2023 19:11,5,26/08/2023 03:21,decente
56,392,103,104,111,4/03/2023 20:05,5,5/03/2023 04:15,bien
56,336,103,104,91,1/10/2023 19:25,4,2/10/2023 03:34,muy bien
56,326,103,104,96,28/09/2023 05:22,3,28/09/2023 13:32,decente
56,401,103,104,109,30/11/2023 16:34,3,1/12/2023 00:43,bien
56,208,103,104,113,30/10/2023 13:58,3,30/10/2023 22:07,muy bien
57,100,103,104,97,2/04/2023 10:23,5,2/04/2023 18:33,decente
57,191,103,104,93,13/06/2023 15:14,3,13/06/2023 23:23,bien
57,213,103,104,111,23/09/2023 16:08,5,24/09/2023 00:17,muy bien
57,229,103,104,112,23/05/2023 09:01,4,23/05/2023 17:10,decente
57,317,103,104,110,12/01/2023 23:42,4,13/01/2023 07:52,bien
58,342,103,104,100,14/03/2023 05:32,4,14/03/2023 13:41,muy bien
58,220,103,104,103,16/08/2023 03:31,3,16/08/2023 11:41,decente
58,199,103,104,103,13/02/2023 12:09,5,13/02/2023 20:19,bien
58,257,103,104,99,12/03/2023 17:16,3,13/03/2023 01:25,muy bien
58,117,103,104,92,11/08/2023 13:05,5,11/08/2023 21:15,decente
58,259,103,104,104,7/03/2023 06:14,5,7/03/2023 14:24,bien
59,90,103,104,99,7/02/2023 10:59,3,7/02/2023 19:08,muy bien
59,36,103,104,109,4/09/2023 12:54,4,4/09/2023 21:04,decente
59,60,103,104,114,23/02/2023 17:44,3,24/02/2023 01:54,bien
59,249,103,104,98,27/06/2023 21:22,4,28/06/2023 05:32,muy bien
59,294,103,104,112,1/07/2023 08:10,3,1/07/2023 16:20,decente
59,140,103,104,109,1/05/2023 23:00,4,2/05/2023 07:09,bien
59,11,103,104,95,20/11/2023 08:07,3,20/11/2023 16:17,muy bien
59,220,103,104,92,12/12/2023 01:00,4,12/12/2023 09:10,decente
59,318,103,104,94,15/02/2023 11:15,5,15/02/2023 19:25,bien
59,174,103,104,102,8/06/2023 16:55,3,9/06/2023 01:05,muy bien
59,186,103,104,102,30/12/2023 22:44,5,31/12/2023 06:53,decente
60,446,103,104,102,14/05/2023 15:33,4,14/05/2023 23:43,bien
60,104,103,104,114,23/03/2023 22:10,3,24/03/2023 06:20,muy bien
61,205,103,104,113,8/12/2023 23:33,5,9/12/2023 07:42,decente
61,350,103,104,106,27/05/2023 23:05,5,28/05/2023 07:15,bien
62,114,103,104,113,4/04/2023 18:33,4,5/04/2023 02:42,muy bien
62,50,103,104,113,18/07/2023 09:50,3,18/07/2023 17:59,decente
62,218,103,104,94,4/02/2023 18:51,3,5/02/2023 03:00,bien
62,89,103,104,104,29/10/2023 04:57,5,29/10/2023 13:06,muy bien
63,83,103,104,99,31/01/2023 09:26,4,31/01/2023 17:35,decente
63,380,103,104,101,9/03/2023 20:52,5,10/03/2023 05:02,bien
63,118,103,104,110,18/07/2023 09:46,4,18/07/2023 17:55,muy bien
63,29,103,104,94,28/04/2023 17:13,5,29/04/2023 01:22,decente
63,429,103,104,104,27/10/2023 19:00,3,28/10/2023 03:10,bien
63,275,103,104,108,29/08/2023 18:21,3,30/08/2023 02:30,muy bien
63,385,103,104,105,7/07/2023 15:37,4,7/07/2023 23:46,decente
63,90,103,104,103,2/11/2023 15:58,5,3/11/2023 00:08,bien
63,443,103,104,101,3/06/2023 17:15,4,4/06/2023 01:25,muy bien
63,311,103,104,107,16/06/2023 15:55,3,17/06/2023 00:04,decente
64,136,103,104,113,4/07/2023 17:15,4,5/07/2023 01:24,bien
64,343,103,104,102,15/03/2023 09:12,3,15/03/2023 17:22,muy bien
65,12,103,104,102,3/12/2023 18:43,5,4/12/2023 02:52,decente
65,123,103,104,92,21/09/2023 20:21,3,22/09/2023 04:30,bien
65,390,103,104,102,11/06/2023 23:35,4,12/06/2023 07:45,muy bien
65,404,103,104,91,27/03/2023 11:09,3,27/03/2023 19:19,decente
65,381,103,104,112,24/01/2023 07:50,5,24/01/2023 16:00,bien
65,328,103,104,113,2/07/2023 21:08,4,3/07/2023 05:18,muy bien
65,295,103,104,93,28/06/2023 17:23,3,29/06/2023 01:32,decente
65,373,103,104,101,12/04/2023 04:40,5,12/04/2023 12:50,bien
66,352,103,104,96,16/03/2023 11:31,3,16/03/2023 19:41,muy bien
66,185,103,104,110,3/03/2023 02:04,5,3/03/2023 10:14,decente
66,198,103,104,110,28/03/2023 07:53,4,28/03/2023 16:02,bien
66,132,103,104,108,31/10/2023 21:46,5,1/11/2023 05:56,muy bien
66,347,103,104,96,12/03/2023 11:05,4,12/03/2023 19:15,decente
67,114,103,104,109,1/10/2023 17:01,4,2/10/2023 01:11,bien
67,183,103,104,109,24/04/2023 20:30,4,25/04/2023 04:40,muy bien
67,438,103,104,97,26/01/2023 07:34,4,26/01/2023 15:44,decente
67,395,103,104,112,8/01/2023 06:07,3,8/01/2023 14:17,bien
67,367,103,104,114,31/01/2023 11:24,5,31/01/2023 19:33,muy bien
68,364,103,104,97,9/11/2023 02:51,3,9/11/2023 11:01,decente
68,287,103,104,105,9/06/2023 14:44,5,9/06/2023 22:53,bien
68,279,103,104,99,22/11/2023 14:32,5,22/11/2023 22:42,muy bien
69,448,103,104,94,23/01/2023 03:33,5,23/01/2023 11:43,decente
70,209,103,104,108,28/01/2023 01:35,3,28/01/2023 09:44,bien
70,297,103,104,98,26/08/2023 16:49,3,27/08/2023 00:58,muy bien
70,192,103,104,101,18/08/2023 23:45,5,19/08/2023 07:54,decente
71,11,103,104,95,21/01/2023 20:21,4,22/01/2023 04:30,bien
71,310,103,104,115,2/12/2023 23:34,5,3/12/2023 07:44,muy bien
71,12,103,104,97,29/05/2023 05:39,5,29/05/2023 13:49,decente
72,35,103,104,102,6/05/2023 18:30,5,7/05/2023 02:39,bien
72,191,103,104,93,25/08/2023 17:06,3,26/08/2023 01:16,muy bien
72,390,103,104,115,6/08/2023 07:27,4,6/08/2023 15:36,decente
73,444,103,104,115,20/10/2023 18:58,5,21/10/2023 03:07,bien
73,410,103,104,112,26/01/2023 09:27,4,26/01/2023 17:37,muy bien
73,214,103,104,108,23/03/2023 21:07,3,24/03/2023 05:17,decente
74,352,103,104,95,12/07/2023 18:06,5,13/07/2023 02:16,bien
74,181,103,104,98,21/11/2023 08:29,3,21/11/2023 16:38,muy bien
74,223,103,104,93,20/12/2023 15:17,4,20/12/2023 23:26,decente
75,277,103,104,109,27/12/2023 08:35,4,27/12/2023 16:44,bien
75,294,103,104,102,30/07/2023 10:27,5,30/07/2023 18:36,muy bien
75,56,103,104,94,17/08/2023 16:50,3,18/08/2023 01:00,decente
75,287,103,104,115,21/07/2023 12:15,3,21/07/2023 20:25,bien
76,189,103,104,107,13/03/2023 01:07,3,13/03/2023 09:16,muy bien
76,314,103,104,90,13/05/2023 12:40,4,13/05/2023 20:49,decente
76,205,103,104,96,29/06/2023 16:53,4,30/06/2023 01:03,bien
77,389,103,104,107,25/09/2023 18:51,4,26/09/2023 03:01,muy bien
77,91,103,104,94,22/07/2023 02:02,4,22/07/2023 10:11,decente
77,191,103,104,93,7/06/2023 21:05,5,8/06/2023 05:15,bien
77,304,103,104,102,11/01/2023 10:15,5,11/01/2023 18:25,muy bien
77,107,103,104,97,25/12/2023 21:05,4,26/12/2023 05:14,decente
78,431,103,104,108,5/04/2023 14:11,4,5/04/2023 22:21,bien
78,160,103,104,103,19/10/2023 23:33,4,20/10/2023 07:43,muy bien
78,51,103,104,112,22/07/2023 06:02,5,22/07/2023 14:12,decente
79,37,103,104,109,29/08/2023 17:51,5,30/08/2023 02:00,bien
79,216,103,104,98,26/05/2023 09:23,3,26/05/2023 17:33,muy bien
79,21,103,104,96,14/04/2023 14:55,3,14/04/2023 23:05,decente
80,414,103,104,110,19/02/2023 05:00,5,19/02/2023 13:10,bien
80,317,103,104,93,15/05/2023 06:42,4,15/05/2023 14:52,muy bien
80,397,103,104,107,13/04/2023 11:53,5,13/04/2023 20:03,decente
81,45,103,104,90,13/03/2023 08:31,4,13/03/2023 16:40,bien
81,411,103,104,112,28/04/2023 03:15,5,28/04/2023 11:24,muy bien
81,314,103,104,107,30/07/2023 08:12,3,30/07/2023 16:21,decente
81,439,103,104,108,10/06/2023 12:29,3,10/06/2023 20:39,bien
82,260,103,104,111,22/03/2023 10:43,3,22/03/2023 18:53,muy bien
82,204,103,104,101,1/10/2023 20:31,5,2/10/2023 04:40,decente
