fecha_ordencompra,Codigo_empleado,fecha_requeridaentrega,Cod_Proveedor,cod_proceso
15/10/2024,33,3/11/2024,1,5
16/10/2024,33,3/11/2024,11,5
17/10/2024,33,3/11/2024,2,5
18/10/2024,33,3/11/2024,4,5
18/10/2024,33,3/11/2024,15,5
22/10/2024,33,3/11/2024,18,6
22/10/2024,33,2/11/2024,15,5
24/10/2024,33,2/11/2024,12,5
24/10/2024,33,2/11/2024,20,5
26/10/2024,33,2/11/2024,17,5
26/10/2024,33,2/11/2024,20,5
26/10/2024,33,2/11/2024,16,1
27/10/2024,33,5/11/2024,13,1
27/10/2024,33,5/11/2024,11,1
28/10/2024,33,5/11/2024,19,1
28/10/2024,33,5/11/2024,4,1
28/10/2024,33,5/11/2024,4,1
29/10/2024,33,5/11/2024,9,1
29/10/2024,33,5/11/2024,2,1
29/10/2024,33,5/11/2024,1,1
