Nombre_Empresa,RUC,Direccion_Proveedor,Correo_proveedor
Rico Pollo,1034345459,Av. Calle Falsa #123,john.doe@example.com
Carne A1,1034345279,Av. Libertad #1234,carne.calidad@example.com
La Casa del Sabor,1034345460,Av. Sabor #567,casa.sabor@example.com
Frutas Frescas,1034345461,Av. Frutales #890,frutas.frescas@example.com
Verduras Verde,1034345462,Av. Saludable #456,verduras.verde@example.com
Panadería del Pueblo,1034345463,Av. Pan #789,panaderia.pueblo@example.com
Lácteos El Campo,1034345464,Av. Leche #321,lacteos.campo@example.com
Pescados del Mar,1034345465,Av. Marítima #654,pescados.mar@example.com
Carnes Selectas,1034345466,Av. Carnes #987,carnes.selectas@example.com
Bebidas del Valle,1034345467,Av. Bebidas #135,bebidas.valle@example.com
Aceites de Oro,1034345468,Av. Aceites #246,aceites.oro@example.com
Dulces y Postres,1034345469,Av. Dulce #357,dulces.postres@example.com
Café y Té Natural,1034345470,Av. Aroma #468,cafe.te.natural@example.com
Productos Orgánicos,1034345471,Av. Orgánico #579,productos.organicos@example.com
Snacks y Aperitivos,1034345472,Av. Snack #681,snacks.aperitivos@example.com
Embutidos La Mejor,1034345473,Av. Embutido #792,embutidos.mejor@example.com
Comidas Internacionales,1034345474,Av. Internacional #803,comidas.internacionales@example.com
Gourmet Select,1034345475,Av. Gourmet #914,gourmet.select@example.com
Postres Deliciosos,1034345476,Av. Delicia #102,postres.deliciosos@example.com
Menú Saludable,1034345477,Av. Salud #213,menu.saludable@example.com
Salsas Especiales,1034345478,Av. Salsas #324,salsas.especiales@example.com
