Cod_solicitudcompra,fecha_creacion,Estado_solicicompra,Codigo_empleado
1,06/11/2024,Aprobada,26
2,07/11/2024,Pendiente,10
3,08/11/2024,Rechazada,2
4,09/11/2024,Aprobada,50
5,10/11/2024,Pendiente,15
6,11/11/2024,Rechazada,63
7,12/11/2024,Aprobada,4
8,13/11/2024,Pendiente,52
9,14/11/2024,Rechazada,26
10,15/11/2024,Aprobada,10
11,16/11/2024,Pendiente,2
12,17/11/2024,Rechazada,50
13,18/11/2024,Aprobada,15
14,19/11/2024,Pendiente,63
15,20/11/2024,Rechazada,4
16,21/11/2024,Aprobada,52
17,22/11/2024,Pendiente,26
18,23/11/2024,Rechazada,10
19,24/11/2024,Aprobada,2
20,25/11/2024,Pendiente,50
