"cod_dp","fecha_pedido","cod_estado_dp","cod_im","cod_mesa"
DP1,2024-11-06 18:15:01.514,TD,1,"50"
DP2,2024-11-06 18:15:01.514,TD,2,"40"
DP3,2024-11-06 18:15:01.514,TD,3,"30"
DP4,2024-11-06 18:15:01.514,TD,4,"10"
DP5,2024-11-06 18:15:01.514,TD,5,"50"
DP6,2024-11-06 18:15:01.514,TD,6,"104"
DP7,2024-11-06 18:15:01.514,TD,7,"40"
DP8,2024-11-06 18:15:01.514,TD,8,"102"
DP9,2024-11-06 18:15:01.514,TD,9,"101"
DP10,2024-11-06 18:15:01.514,TD,10,"100"
DP11,2024-11-06 18:15:01.514,TD,11,"50"
DP12,2024-11-06 18:15:01.514,TD,12,"40"
DP13,2024-11-06 18:15:01.514,TD,13,"30"
DP14,2024-11-06 18:15:01.514,TD,14,"50"
DP15,2024-11-06 18:15:01.514,TD,15,"10"
DP16,2024-11-06 18:15:01.514,TD,16,"30"
DP17,2024-11-06 18:15:01.514,TD,17,"50"
DP18,2024-11-06 18:15:01.514,TP,18,"10"
DP19,2024-11-06 18:15:01.514,MO,19,"20"
DP20,2024-11-06 18:15:01.514,TA,20,"40"
DP21,2024-11-06 18:15:01.514,TD,21,"70"
DP22,2024-11-06 18:15:01.514,RE,22,"50"
DP23,2024-11-06 18:15:01.514,TP,23,"90"
DP24,2024-11-06 18:15:01.514,TA,24,"100"
DP25,2024-11-06 18:15:01.514,TP,25,"101"
DP26,2024-11-06 18:15:01.514,TA,26,"104"
