"hora_inicio","hora_fin","cod_horario","codigo_empleado"
07:30:00,18:00:00,1,81
09:00:00,13:00:00,2,52
19:00:00,07:15:00,3,29
17:15:00,10:00:00,4,27
17:15:00,13:45:00,5,9
09:15:00,20:30:00,6,3
10:30:00,13:45:00,7,60
18:30:00,10:00:00,8,40
16:00:00,10:00:00,9,13
09:00:00,07:15:00,10,65
09:00:00,20:00:00,11,18
12:00:00,20:00:00,12,56
09:00:00,11:45:00,13,38
20:15:00,15:30:00,14,13
13:30:00,18:00:00,15,41
06:15:00,20:00:00,16,4
10:30:00,20:30:00,17,14
15:45:00,07:15:00,18,1
07:30:00,20:30:00,19,6
21:00:00,17:45:00,20,9
09:15:00,09:00:00,21,95
07:30:00,07:00:00,22,66
20:15:00,07:15:00,23,26
12:00:00,10:00:00,24,23
17:15:00,20:30:00,25,50
20:15:00,11:15:00,26,1
08:00:00,17:45:00,27,51
15:45:00,17:45:00,28,67
16:00:00,15:00:00,29,14
21:00:00,20:00:00,30,23
15:45:00,09:00:00,31,61
08:00:00,13:00:00,32,76
08:45:00,15:30:00,33,15
17:15:00,07:00:00,34,3
05:00:00,11:15:00,35,42
06:15:00,13:00:00,36,24
18:30:00,11:15:00,37,18
16:00:00,07:15:00,38,89
19:00:00,20:30:00,39,28
08:45:00,07:00:00,40,72
08:45:00,20:30:00,41,7
12:00:00,11:15:00,42,10
08:00:00,07:00:00,43,96
09:00:00,13:45:00,44,70
16:00:00,15:00:00,45,14
12:00:00,18:15:00,46,26
21:00:00,00:30:00,47,85
08:45:00,00:30:00,48,73
06:15:00,11:45:00,49,71
22:30:00,17:45:00,50,88
17:15:00,07:00:00,51,46
06:15:00,11:30:00,52,53
10:30:00,07:00:00,53,59
20:15:00,08:30:00,54,49
22:30:00,13:00:00,55,87
12:00:00,11:15:00,56,57
22:30:00,18:00:00,57,90
12:00:00,08:30:00,58,32
22:30:00,00:30:00,59,53
21:00:00,22:00:00,60,98
21:00:00,10:00:00,61,83
08:00:00,20:00:00,62,21
06:15:00,17:45:00,63,46
10:30:00,15:30:00,64,93
13:30:00,17:45:00,65,95
16:00:00,15:30:00,66,95
12:00:00,11:45:00,67,19
21:00:00,15:00:00,68,94
10:30:00,07:00:00,69,32
07:30:00,20:30:00,70,3
09:15:00,22:15:00,71,69
19:00:00,18:15:00,72,18
19:00:00,07:00:00,73,4
16:00:00,00:30:00,74,58
06:15:00,15:30:00,75,90
17:15:00,15:00:00,76,12
05:00:00,07:15:00,77,100
08:00:00,22:15:00,78,40
20:15:00,10:00:00,79,39
18:30:00,13:00:00,80,15
14:00:00,07:15:00,81,81
19:00:00,18:15:00,82,30
08:00:00,07:00:00,83,35
19:00:00,00:30:00,84,60
14:00:00,11:30:00,85,3
14:00:00,00:30:00,86,69
16:00:00,22:00:00,87,71
22:30:00,07:15:00,88,35
16:00:00,08:30:00,89,27
19:00:00,07:15:00,90,19
08:00:00,08:30:00,91,44
13:30:00,17:45:00,92,99
22:30:00,09:00:00,93,27
21:00:00,11:45:00,94,88
07:30:00,22:00:00,95,40
13:30:00,22:15:00,96,41
14:00:00,00:30:00,97,96
21:00:00,15:00:00,98,93
15:45:00,08:30:00,99,45
22:30:00,11:30:00,100,30
